Algorithm, Search strategy, Query, Modelname, #Results)
czero, BFS, CTLCardinality, SharedMemory-PT-000005, 14
czero, CDFS, CTLCardinality, SharedMemory-PT-000005, 11
czero, DFS, CTLCardinality, SharedMemory-PT-000005, 13
global, BBFS, CTLCardinality, SharedMemory-PT-000005, 10
global, BDFS, CTLCardinality, SharedMemory-PT-000005, 14
global, BestFS, CTLCardinality, SharedMemory-PT-000005, 6
global, BFS, CTLCardinality, SharedMemory-PT-000005, 11
global, DFS, CTLCardinality, SharedMemory-PT-000005, 6
local, BBFS, CTLCardinality, SharedMemory-PT-000005, 15
local, BDFS, CTLCardinality, SharedMemory-PT-000005, 15
local, BestFS, CTLCardinality, SharedMemory-PT-000005, 15
local, BFS, CTLCardinality, SharedMemory-PT-000005, 13
local, DFS, CTLCardinality, SharedMemory-PT-000005, 11
czero, BBFS, CTLCardinality, SimpleLoadBal-PT-02, 15
czero, BDFS, CTLCardinality, SimpleLoadBal-PT-02, 14
czero, BestFS, CTLCardinality, SimpleLoadBal-PT-02, 2
czero, BFS, CTLCardinality, SimpleLoadBal-PT-02, 2
czero, CDFS, CTLCardinality, SimpleLoadBal-PT-02, 1
czero, DFS, CTLCardinality, SimpleLoadBal-PT-02, 4
global, BBFS, CTLCardinality, SimpleLoadBal-PT-02, 1
global, BDFS, CTLCardinality, SimpleLoadBal-PT-02, 10
global, BestFS, CTLCardinality, SimpleLoadBal-PT-02, 8
global, BFS, CTLCardinality, SimpleLoadBal-PT-02, 1
global, DFS, CTLCardinality, SimpleLoadBal-PT-02, 12
local, BBFS, CTLCardinality, SimpleLoadBal-PT-02, 7
local, BDFS, CTLCardinality, SimpleLoadBal-PT-02, 5
local, BestFS, CTLCardinality, SimpleLoadBal-PT-02, 2
local, BFS, CTLCardinality, SimpleLoadBal-PT-02, 1
local, DFS, CTLCardinality, SimpleLoadBal-PT-02, 6
czero, BBFS, CTLCardinality, TokenRing-PT-005, 12
czero, BDFS, CTLCardinality, TokenRing-PT-005, 7
czero, BestFS, CTLCardinality, TokenRing-PT-005, 11
czero, BFS, CTLCardinality, TokenRing-PT-005, 5
czero, CDFS, CTLCardinality, TokenRing-PT-005, 1
czero, DFS, CTLCardinality, TokenRing-PT-005, 10
global, BBFS, CTLCardinality, TokenRing-PT-005, 4
global, BDFS, CTLCardinality, TokenRing-PT-005, 12
global, BestFS, CTLCardinality, TokenRing-PT-005, 11
global, BFS, CTLCardinality, TokenRing-PT-005, 8
global, DFS, CTLCardinality, TokenRing-PT-005, 12
local, BBFS, CTLCardinality, TokenRing-PT-005, 15
local, BDFS, CTLCardinality, TokenRing-PT-005, 10
local, BestFS, CTLCardinality, TokenRing-PT-005, 7
local, BFS, CTLCardinality, TokenRing-PT-005, 1
local, DFS, CTLCardinality, TokenRing-PT-005, 13
Algorithm, Search strategy, query, time(ms, #configurations, #markings
